indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,dataSource,visible,updateFreq,used_for_model
riverlevel-max,Maximum river water level,Maximum river water levels from all Flood Forecasting Stations in the Revenue Circle,84,Hazard,Flood Hazard,m,CWC,,,n
water,Percentage of area under water,Percentage of area under water,30,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,y
trees,Percentage of area under trees,Percentage of area under trees,30,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,y
flooded-vegetation,Percentage of area under flooded vegetation,Percentage of area under flooded vegetation,43,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,n
crops,Percentage of area under crops,Percentage of area under crops,30,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,y
built-area,Percentage of area under buildings,Percentage of area under buildings,34,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,y
bare-ground,Percentage of area that is bare ground,Percentage of area that is bare ground,38,Hazard,Flood Hazard,Ratio,LANDUSE MAP,y,,y
clouds,Percentage of area covered by clouds,Percentage of area covered by clouds,36,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,n
rangeland,Percentage of area defined as range lands,Percentage of area defined as range lands,41,Hazard,Flood Hazard,Ratio,LANDUSE MAP,,,y
mean-cn,Mean Curve Number,Curve Numbers help in estimation of Surface runoff,50,Hazard,Flood Hazard,,GCN250,,,y
elevation-mean,Mean Elevation,Mean elevation of the Revenue Circle,36,Hazard,Flood Hazard,m,NASADEM,y,,y
slope-mean,Mean slope,Mean slope of the Revenue Circle,32,Hazard,Flood Hazard,degrees,NASADEM,,,y
drainage-density,Drainage density,Drainage density is a measurement of the sum of the channel lengths per unit area,81,Hazard,Flood Hazard,km / sq.km,derived from NASADEM,y,,y
distance-from-river,Distance from the river,Average distance from river,27,Hazard,Flood Hazard,km,WRIS,,,y
exposure,Exposure,Exposures of vulnerable population and assets to hazards,56,Exposure,Risk Score,Score,MODEL,y,,
sum-male-population,Total Male Population*,Total number of male population,31,Exposure,Exposure,Number,WORLDPOP,,,y
sum-female-population,Total Female Population*,Total number of female population,33,Exposure,Exposure,Number,WORLDPOP,,,y
households,Total Number of Households*,Total number of households,26,Exposure,Exposure,Number,MISSION ANTYODAYA 2020,,,y
sum-population,Population*,Total number of people residing in the Revenue Circle,53,Exposure,Exposure,Number,WORLDPOP,y,,y
vulnerability,Vulnerability,"Physical, Social, Economic, and Environmental vulnerabilities which increase susceptibility of an area or a community to impact of hazards",138,Vulnerability,Risk Score,Score,MODEL,y,,
ndbi-mean,Mean NDBI,Mean Normalised Difference Building Index (NDBI) value for the revenue circle,77,Vulnerability,Vulnerability,Ratio,SENTINEL,,,n
sum-aged-population,Elderly population*,Number of people of ages greater than or equal to 65,52,Exposure,Exposure,Number,WORLDPOP,,,y
sum-young-population,Children population*,Number of people of ages less than or equal to 5,48,Exposure,Exposure,Number,WORLDPOP,,,y
schools-count,Number of Schools,Number of Schools in the Revenue Circle,39,Vulnerability,Vulnerability,Number,BHARATMAPS,,,y
health-centres-count,Number of Health Centres,Number of health centres in the Revenue Circle,46,Vulnerability,Vulnerability,Number,BHARATMAPS,y,,y
rail-length,Length of rail in the Revenue Circle,Length of rail in the Revenue Circle,36,Vulnerability,Vulnerability,km,BHARATMAPS,,,y
road-length,Length of Road,Length of road in the Revenue Circle,36,Vulnerability,Vulnerability,km,BHARATMAPS,,,y
net-sown-area-in-hac,Net Sown Area,Net sown area in the Revenue Circle,35,Vulnerability,Vulnerability,hectares,MISSION ANTYODAYA 2020,,,y
avg-electricity,Average availablity of domestic electricity,Average availablity of domestic electricity,43,Vulnerability,Vulnerability,hours,MISSION ANTYODAYA 2020,,,y
avg-tele,Average availablity of telecom services,Average availablity of telecom services,39,Vulnerability,Vulnerability,category,MISSION ANTYODAYA 2020,,,n
rc-piped-hhds-pct,Percentage of households with piped water connection,Percentage of households with piped water connection,52,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y
rc-nosanitation-hhds-pct,Percentage of households without sanitation facilities,Percentage of households without sanitation facilities,54,Vulnerability,Vulnerability,Ratio,MISSION ANTYODAYA 2020,,,y
mean-sexratio,Mean Sex Ratio*,Number females per 1000 males,29,Vulnerability,Vulnerability,Ratio,WORLDPOP,,,y
total-animal-washed-away,Number of animals washed away,Number of animals washed away,29,Vulnerability,Vulnerability,Number,FRIMS,,,y
total-animal-affected,Number of animals affected,Number of animals affected,26,Vulnerability,Vulnerability,Number,FRIMS,,,y
population-affected-total,Population Affected,Population affected,19,Vulnerability,Vulnerability,Number,FRIMS,y,,y
Relief-Camp-inmates,Relief camp inmates,Relief camp inmates,19,Vulnerability,Vulnerability,Number,FRIMS,,,x
human-live-lost,Human Lives Lost,Human lives lost,16,Vulnerability,Vulnerability,Number,FRIMS,,,x
crop-area,Crop Area Affected,Crop area affected,18,Vulnerability,Vulnerability,Hectares,FRIMS,y,,y
total-house-fully-damaged,Number of Houses Damaged,Number of houses damaged,24,Vulnerability,Vulnerability,Number,FRIMS,,,y
embankments-affected,Number of embankments affected,Number of embankments affected,30,Vulnerability,Vulnerability,Number,FRIMS,y,,y
roads,Number of Roads damaged,Number of Roads damaged,23,Vulnerability,Vulnerability,Number,FRIMS,y,,y
Bridge,Number of Bridges damaged,Number of Bridges damaged,25,Vulnerability,Vulnerability,Number,FRIMS,,,y
Embankment breached,Number of embankments breached,Number of embankments breached,30,Vulnerability,Vulnerability,Number,FRIMS,,,y
number-relief-camps,Number of Relief camps,Number of Relief camps,22,Vulnerability,Vulnerability,Number,FRIMS,,,x
government-response,Government Response,"Capacities or resources that can reduce the level of risk, or the effects of disasters",86,Government Response,Risk Score,Score,MODEL,y,,
total-tender-awarded-value,Total Value of Flood Related Tenders,Total value of flood related tenders,36,Government Response,Government Response,Rupees,assamtenders.gov.in,y,,y
SOPD-tenders-awarded-value,Total value of flood related tenders granted under SOPD Scheme,SOPD Scheme is the State Owned Priority Development Scheme. This variable gives information of total value of tenders that were granted under SOPD Scheme,153,Government Response,Government Response,Rupees,assamtenders.gov.in,,,x
sdrf-tenders-awarded-value,Total Value of Flood Related Tenders granted under SDRF Scheme,SDRF is the State Disaster Response Fund. It is used for meeting the expenditure for providing immediate relief to the victims of disaster. This variable gives information of total value of tenders that were granted under SDRF,226,Government Response,Government Response,Rupees,assamtenders.gov.in,y,,x
RIDF-tenders-awarded-value,Total value of flood related tenders granted under RIDF Scheme,RIDF is the Rural Infrastructure Development Fund maintained by NABARD. This variable gives information of total value of tenders that were granted under RIDF.,159,Government Response,Government Response,Rupees,assamtenders.gov.in,,,x
CIDF-tenders-awarded-value,Total value of flood related tenders granted under CIDF Scheme,CIDF City Infra Development Fund is maintained by Assam Government for urban development. This variable gives information of total value of tenders that were granted under CIDF,176,Government Response,Government Response,Rupees,assamtenders.gov.in,,,x
restoration-measures-tenders-awarded-value,Total Value of Flood Related Tenders related to Preparedness,"Every flood related tender is flagged as either ""Preparedness"", ""Immediate Measure"" or ""Other"" based on key words. This column gives sum of all tenders that are flagged as Preparedness Measures",193,Government Response,Government Response,Rupees,assamtenders.gov.in,y,,x
immediate-measures-tenders-awarded-value,Total Value of Flood Related Tenders related to Immediate Measures,"Every flood related tender is flagged as either ""Preparedness"", ""Immediate Measure"" or ""Other"" based on key words. This column gives sum of all tenders that are flagged as Immediate Measures",190,Government Response,Government Response,Rupees,assamtenders.gov.in,y,,x
Others-tenders-awarded-value,Total value of flood related tenders related to Others,"Every flood related tender is flagged as either ""Preparedness"", ""Immediate Measure"" or ""Other"" based on key words. This column gives sum of all tenders that are flagged as Other",177,Government Response,Government Response,Rupees,assamtenders.gov.in,,,x
